region_id,region_name_en,region_name_mm
1,Naypyitaw Union Territory,နေပြည်တော် (ပြည်ထောင်စုနယ်မြေ)
2,Mandalay Region,မန္တလေးတိုင်းဒေသကြီး
3,Rakhine State,ရခိုင်ပြည်နယ်
4,Shan State (South),ရှမ်းပြည်နယ် (တောင်ပိုင်း)
5,Tanintharyi Region,တနင်္သာရီတိုင်းဒေသကြီး
6,Yangon Region,ရန်ကုန်တိုင်းဒေသကြီး
7,Chin State,ချင်းပြည်နယ်
8,Bago Region (East),ပဲခူးတိုင်းဒေသကြီး (အရှေ့)
9,Kayah State,ကယားပြည်နယ်
10,Kayin State,ကရင်ပြည်နယ်
11,Shan State (East),ရှမ်းပြည်နယ် (အရှေ့)
12,Mon State,မွန်ပြည်နယ်
13,Ayeyarwady Region,ဧရာဝတီတိုင်းဒေသကြီး
14,Bago Region (West),ပဲခူးတိုင်းဒေသကြီး (အနောက်)
15,Magway Region,မကွေးတိုင်းဒေသကြီး
16,Kachin State,ကချင်ပြည်နယ်
17,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး
18,Shan State (North),ရှမ်းပြည်နယ် (မြောက်ပိုင်း)
